Year,Innings,Runs,Balls,Avg,SR,HS,50,100,4s,6s
2007,3,88,61,88,144.26,50,1,0,9,4
2008,1,8,8,8,100,8,0,0,1,0
2009,8,145,129,20.71,112.4,52,1,0,12,4
2010,4,94,69,47,136.23,79,1,0,6,6
2011,3,80,60,26.66,133.33,53,1,0,5,4
2012,9,116,89,23.2,130.33,55,1,0,9,2
2013,1,8,8,8,100,8,0,0,0,1
2014,6,200,162,40,123.45,62,2,0,19,6
2015,2,128,90,64,142.22,106,0,1,14,5
2016,18,497,378,29.23,131.48,83,4,0,45,19
2017,9,283,165,31.44,171.51,118,1,1,30,16
2018,18,590,400,36.87,147.5,111,3,2,51,31
2019,14,396,286,28.28,138.46,85,4,0,33,22
2020,4,140,93,46.66,150.53,65,2,0,11,7
2021,11,424,281,38.54,150.88,74,5,0,39,23
2022,29,656,488,24.29,134.42,72,3,0,64,32
2024,11,378,236,42,160.16,121,3,1,35,23
